Reviews,Ratings,Dates,Website
"I salute the team that designed the space and setup. Trendy with a good sports straight up bar vibe. Definitely a place you could feel comfortable bringing a boss, coworker, just the friends or if you are a solo adventurist, it works. The bartender did make a good old fashioned with a bit too large of a block of ice. The bar was loud, and by that, when the server can't hear your order, I mean loud. The menu has some great ethnic blends with traditional bar burger and steak options. I ventured for the curry crisp cauliflower and the lettuce wraps and also had a friend try the butter chicken entree. While the concept was good the flavors fell shy. The cauliflower was a little undercooked and not enough sauce to blend the flavors causing the curry spice to be overpowering. The lettuce wraps lacked all flavor and just weren't good. In addition while I love the attention, having multiple servers is confusing. Overall not a place I'd eat at again although a drink could draw me in",2.0,2016-02-12,Yelp
"It was my first time dining at Reds on Friday night -- casual upscale dining.The location is great and the decor is very interesting. Take a look at the ceiling and you'll see some of their light fixtures made of wine glasses and beer bottles. The servers were friendly, but as it became busier throughout the night, their presence was a bit lacking. I started with a Pear Bellini and it tasted all right, but I thought it was overpriced (as with many other items on the menu).With appetizers to start, we tried the Calamari, Butcher Board, Lobster Guacamole, and best of all, the Crispy Potato Flatbread. The Crispy Potato Flatbread is a must-try. All the ingredients blend together so nicely, and the extra crispiness to the flatbread is like the cherry on top. I have to mention the tortillas that came with the Lobster Guacamole were greasy, but they were really nice and crispy, like they were straight-out-of-the-oven fresh.For my main, I ordered the Chicken Carbonara. The egg was perfectly poached, and the pasta was perfectly al dente. This cream-less approach made this dish look like a low-fat carbonara (as one of my coworkers called it) and it tasted like so, except all the rigatoni at the bottom of my plate were completely soaked in oil. All in all, I would return just to have their Crispy Potato Flatbread again, despite the slow service when it gets busy.",3.0,2014-10-06,Yelp
"The service here is consistently bad. I live and work nearby but will never go back.. The food is ok but the staff really are inattentive and terrible at their jobs. Wrong orders, long waits, being ignored... I actually had to ask for the bill multiple times to several people for about 45min! I'm not sure they would have noticed if I just walked out. I Have tried to ""give it a chance"" a few times, I've been there for lunch and dinner, weekdays and weekends... I have regretted it every time. I have heard the same problems from my friends and coworkers.",1.0,2016-03-13,Yelp
"That was seriously amazing!!!!!!!!  I mean 6/5!!! Service was good.  The calamari were cooked just the right way. Absolutely delicious. The ceviche was awesome and fresh.  The only thing that it missed was a little bit more variety of fish or shrimp.  There was only one sort of fish in it. But seriously good. The food,  I had the lamb shank.  Tender!!!  Tender!!!  Oh let me repeat it T E N D E R.  The olive relish was exquisite.  The polenta was just perfect. I'd take it again. The Flourless chocolate cake... I never take desert since I'm not a fan but hey it blew my mind.  It tasted the banana.  The dark chocolate was tender. And the salt on the mousse just was awesome. I had the sticky toffee pudding.  12/10!! I loved it.  Just the right size.  It was so good.  Not to sweet. Just perfect. We also had the beefeater Gin with the zest and everything.  If you like Gin TRY IT!! Bacon bourbon was OK.  Not exciting.",5.0,2014-11-17,Yelp
"For the price we paid for dinner for too I expected so much more then what we had got.. Atmosphere is awesome but food not so much. Server wasn't very friendly and at one point rolled her eyes at us.. We both had ordered Oscar steak.. When the server brought them to us he had given us wrong steaks I was eating my partners steak who was cooked differently and vice versa (person who brought out food was different then server) we had switched but after we had both had eaten some of each other's food which isn't a huge biggy.. Potato as the side was very cold and the steak was fatty and not the best.. We had told our server and she simply said ""oh"" would never be visiting here again and for $150 bill I expected way more... Disappointed",2.0,2015-10-14,Yelp
"This is quickly becoming one of my favourite places to go.Went on Valentine's Day, with my ""anti-date"" (just a friend).  It was late when we go there, already past 10 pm.  We sat ourselves at the bar.  Right away, the bartender came over to give us cocktail menus; we asked if we could still get food, he said the kitchen goes to midnight.I had just been there a few days prior, but the menu was all different, with some new great sounding additions.  Turned out we were seated at the bar next to all the staff who were getting off for the night, as they got cut, they joined the party.  This could have been a really exclusive, annoying situation, but they still acted like a respectful customers and as food kept coming out, I saw them eating some steak frites and knew that's what I had to have.Steak was done exactly as I'd requested, really good.  Because it was Valentine's Day, the bartender made us some shots on the house -- how sweet is that??  They were really good, too!  They had a ""DJ"" spinning some dance music, but it was all stuff I actually liked, and I had a great time as always.  Such a great addition to the neighbourhood.  Yay!",5.0,2014-02-14,Yelp
"Decor's nice. Stopped in for dinner after a long day, and was recommended the creamless carbonara. Dish had lots of good taste, but the waiter exaggerated the size of the dish, so I was left wanting. I would have ordered something else if I'd have known how big it really was. Moral of the story: size matters, so don't overstate. I'd go back, but with the selection in the area, I'll try everything else once before my next visit to Reds.",3.0,2014-06-14,Yelp
"I'm really happy I stumbled upon Reds!We were walking up Yonge assuming that one again we would end up at Elephant and Castle when... REDS APPEARED!Apparently they've been there since October, so I must have been overlooking them for the last few months, but finally the stars aligned and I popped in for a drink.I do like the decor, although it is the typical ""trendy"" look, with Edison bulbs, recycled wood and concrete elements. It is a very LARGE space, including two private dining spaces, so I can see that it will be a great spot for stopping by after a movie for a drink, since I can't really imagine it filling up.NOW - to the four star element - the service was prompt and polite, but the cocktails were kind of MEH. I understand that it's a wine bar, so I probably should have gone with wine, but they had a delicious and long cocktail list (that was reasonably priced!) so I couldn't resist. I tried the Ginger Rogers (never again!) and their Negroni, which was decent but a little unbalanced. I will definitely be back for food and will update accordingly!",4.0,2014-01-13,Yelp
Amazing place for drinks and food in the downtown core. The decor is very welcoming and makes for a great place to bring friends for a night out.,5.0,2016-07-13,Yelp
"Good selection from the Winterlicious menu - we found the portions to be quite large and food was tasty.This would be a great place for drinks at Happy Hour but for lunch time, the service was very slow.  I would return for some beer and wine, but not a great lunch spot.",3.0,2015-03-17,Yelp
"Started with the calamari fritti and was pleasantly surprised with the battered and fried lemon slices. The slices explode with flavour and go well the calamari. The pork tenderloin was flavourful and portion size was perfect. The gnocchi accompanying the tenderloin almost stole the show. The gnocchi was pleasantly spicy and the pan fry gave them a nice texture. The bacon cheeseburger is a little pricey but I would order it again in a heartbeat. The bun is fresh baked and the burger almost melts in your mouth. The menu advertised a knife and fork Caesar salad however I received a standard boring Caesar. The salad was much too small and lacked flavour. Cocktails! Margarita was terrific, I would have ordered another one however I wanted to try the maple bacon bourbon Manhattan. The Maple did not disappoint however I would have liked a bigger piece of bacon on the stir stick. The Caesar (cocktail) was delicious and the olive and kielbasa were a great accompaniment. Service was only ok. We came early in the evening and the place was almost empty. It took a long time to get drinks and longer for refills. Empty plates and glasses were not cleared as quick as I would have liked. Our server explained that he didn't like the look of the cheeseburger so the kitchen did it again. Appreciated that bc the burger was excellent. Overall it was great experience, decor was nice and I enjoyed the comfy chairs.",4.0,2016-06-15,Yelp
"Went for lunch.Service: excellent. Everyone from coatcheck  girl to server had amazing smile. Super friendly staff. Decor: beautiful. I have a soft spot for exposed brick walls and this place features exposed brick wall throughout, very inviting. There are communal tables for groups in one section of the restaurant. Plus: TV by the bar for hockey fans. If you are bored for some reason, use the note pad and pencils on your table to entertain yourself. Food: shared chicken carbonara and smoked turkey/peameal sandwich with fries. Chicken carbonara came with a poached egg so had to try it.  It was creamy , salty and tasty. The sandwich was good but nothing out of ordinary. The blanco roll was soft and they don't skimp on the meat. Fries were delicious with the right amount of salt. A bit disappointing that they don't have sweet potato fries. Oh, they have the same menu for lunch and dinner so portion was big for lunch. In summary, absolutely loved dining here. Will return soon!",5.0,2013-11-29,Yelp
"And suddenly, this new Red's location came up....Overall, still the same chain vibe going on.  No matter how they try to disguise it, it's a Sircorp restaurant afterall - so you know your sauces dressing etc are coming out of efficient little bags and food pre prepped and shipped to the tim horton par bake level. However, location wise, this place is great - atmosphere wise - it's an update to what's currently out there.Compared to Moxies, Keg, Milestones - Red's is definitely the winner.  Just don't expect gourmet food here.",3.0,2014-02-01,Yelp
"Came here with my mom for a light afternoon snack & some chitchat. The vibe in this place is everything you would want it to be - dim, not too loud, classy. They also have so many interesting interior design elements going on!The service was very very friendly as well!We ordered one AAA Beef Sirloin salad & a Thai Slaw salad to share. It was more than enough for both of us to share! Out of the two, I enjoyed the beef sirloin salad more (probably because of my medium rare steak), plus the sauce was interesting :)Will definitely return again for some kind of function! :)P.S. Please expand your dessert menu ;)",5.0,2013-11-14,Yelp
"Great food, tried the oyster and halibut. The drinks are very delicious as well. Great ambience , good for groups and for dates .",5.0,2015-04-25,Yelp
"2.5 stars rounded up to 3 thanks to a decent craft beer menu. My overall experience was mixed - I doubt I will return.Service was mixed. It took about 15 minutes before someone took our 1st drink order. Our server was polite and friendly but hard to find throughout the night. At one point I asked a different server for a beer and he said he can't help, he's not my waiter. WTF?... we were a group of 15 with a bill +$1,000 and another server can't help out?Later in the evening the hostess helped out a little. The beer selection was much better than I expected for a wine bar. About 10 craft beers on tap from Ontario. Served in 16 oz glass instead of a traditional pint size. Diversified wine menu but I'm no expert in this regard.For dinner I had the turkey sandwich and fries. The sandwich was ok but the Turkey meat was cold cut style and a little salty. The fries were excellent. I also tried the oysters, calamari and sliders - the sliders were the clear winner. Great atmosphere with high bar top tables - perfect for larger groups of people. Music was 90's hip hop on a Friday night - not my thing. Bathrooms downstairs were always occupied so you had to run upstairs instead, a little annoying. Reds just didn't wow me on my visit. Every positive experience was immediately followed by a negative one... 50/50 doesn't cut it.BK",3.0,2014-10-19,Yelp
I love the decor.... Great service and fantastic food... Next time I'll be in Toronto I'll definitely come back... Highly recommend...,5.0,2015-06-09,Yelp
"For those who haven't been to Red's it would be comparable to Milestones, Jack Astors, etc. The ""midtown"" location is situated at Yonge/Gerrard in a newly built condo building.The restaurant itself is pretty nice. Large space, open with decent amount of seating. The waitstaff are friendly and eager to please their customers however the waitress we had wasn't very knowledgeable about the menu items. The restaurant has a nice craft beer, drink and wine selection to choose from.The food was disappointing. Selection was not great; the menu is a one-sided large sheet. Our table shared the potato flatbread and calamari  which was very greasy. I also had the chicken carbonara which was boring. My friends ordered the lamb shank which they enjoyed. For dessert we shared the carrot cake- it too seemed oily.I wouldn't go back to Red's unless they change up the menu. If you're looking for a young and lively setting with great food and drinks I would recommend Earls instead.",2.0,2013-12-28,Yelp
"Shitty, disaffected servers pushing warm beer and small portions. We arrived as a group and were told we were subject to an 18% surcharge. On dead afternoon we ordered food which took forever, lacked the sides and was banal. Our waitress explained that she was busy ""hopping around"" and that someone else would look after us....and we waited...",2.0,2015-11-03,Yelp
"Terrible service. They wouldn't seat me and my friend because there were only two of us (at a four seater table), but seated four people who came after. Then when we asked the host about it, they had lied and said the table was reserved for them, even though the four people came from the same full-capacity bars we had just been to, looking for a table. It's all about money for this establishment. Never coming back and wouldn't recommend this place.",1.0,2015-10-14,Yelp
"We came here with a food promo from work. In their defense, we came a tad late. Around 1030. We were offered the shareables menu, and made our choices from there. We tried the fried calamari, the charcuterie, and the mussels. Calamari was delectable, nice and and crisp. The batter was one with the squid, which is a big deal for me. The mussels were excellent. Served with grilled bread and not on the cheapy side. A healthy serving that more or less made or experience. The charcuterie was less then impressive, mostly prosciutto and the sides were whatever. Definitely would not order again. The bartender knew how to make a martini, which is nice. He wasn't too impressed with the promo coupon for the food though. Fair enough, I'm a bartender and coupons give me grief!",3.0,2015-03-10,Yelp
"Overall a good time, but I won't be in a hurry to go back.The restaurant is beautiful and the food quality is excellent.On the flip side, the prices are on the higher side for food and drinks. The portion sizes of the plates are on the smaller side. The server was friendly but would disappear for periods of time and he didn't know much about drinks (ie bourbon vs scotch). Many beers were out of stock (never seen such a thing).And then this happened ..Sadly, the server needed to make 3 trips to correct our 2 bills for a table of 4 and in the end we settled to work it out between us (still wrong). His first try included duplicates of items, essentially double charging.Our experience certainly fell short of our expectations and this was a 2nd try and 2nd disappointment for a guest in our party.",3.0,2014-12-06,Yelp
"I have been to Reds on several occasions and would go again. It is not perfect and a little on the overpriced side, but they do everything well.  Their turkey-peameal bacon sandwich is very nice, with a healthy portion of both. The wine selection is decent, and their Caesars are exactly what you want without anything super fancy.  The service is well-paced and friendly.In fact there is not much to fault Reds for. It is a terrific neighbourhood bar/restaurant. Great for a date, a drink with colleagues after work, or to meet up with friends.",4.0,2014-08-04,Yelp
I came on an evening business trip and it was a great place to seat and eat at the bar while watching a baseball game. The steak I had was excellent. Friendly service also.,4.0,2015-08-15,Yelp
"Great experience at Red's! I went on a Sunday night with my girlfriend. We got seated right away and the service was great. The food was also excellent - we ordered the wings appetizer, which came in a buffalo butter sauce. I ordered the Chicken Carbonara, and my girlfriend ordered the Stockton St. Club Sandwich. We were both very impressed with the food - very tasty. Aside from that, the place was absolutely beautiful inside. Classy, unique and designed very well. The name definitely doesn't fit the vibe, it is not what you would picture when you hear ""Red's Tavern"" (at least, I didn't). I'd definitely come back my next trip to Toronto.",5.0,2014-09-02,Yelp
We came here for dinner for the first time - I'd seen a deal thru work perks and wanted to try. The food was awful. Oversalted and dry. A mistake with the order took 10 mins to fix. Had to deal with an arrogant manager who refused a valid coupon. We left as soon as we could and won't be back.Nice inside and clean. Not overly busy. The server was good.,2.0,2014-11-06,Yelp
"It was pretty good. I ordered the steak salad,  was a good dish, but not surprisingly good. Also if the salad was mixed already with the sauce before it comes up, it will be better. The pasta was actually great, and the small cheeseburgers were cute and delicious.Service were good, and patient.Overall nice, might return, but will order something else next time!",4.0,2014-10-13,Yelp
"We went on a Friday evening, without a reservation. We were seated promptly, but our hostess tried to put us at a table right by the kitchen. We asked to move and she obliged. Be forewarned - despite its Keg-like decor (lots of wood and glass), this place is pretty loud. The music is pumping non stop, making conversation difficult. It's definitely geared to a younger crowd. The service was quite slow. We had to wait a bit just to get menus, and then another considerable wait for our drinks. We both ordered entrees (no apps), as well as a bottle of wine. As we waited for our meal, we got hungry, so we decided to order an appetizer. Then, suddenly, our entrees appeared. I'd assumed our waitress would have put a hold on our entrees after we ordered the appetizer, but no.  We then asked our waitress to cancel our appetizer, since our entrees had arrived. She looked at me like I was crazy, and clearly wasn't happy about doing that, but she obliged. When she opened our wine bottle, it looked like the first time she was doing it. My wife's pickerel was not good at all...not cooked properly and lukewarm. My seafood pasta was okay, but nothing great. We didn't bother staying for dessert. I'll not be returning, and would not recommend this place. Also, make note: this place is pricey, too pricey for what you get in my opinion. We had two drinks, two entrees and a bottle of wine and our bill was $140. Way too much for this place.",2.0,2016-02-20,Yelp
"So, last night I was invited out to a concert by my girlfriend at the last minute when a friend bailed. She had paid for the tickets so I thought I would take her out for an early dinner in the area before the show.Seeing as Reds Midtown is in the area and that I like the original I figured we could give their new ""midtown"" location a try. This was probably a mistake.I've been to the original Reds on a few occasions and have always found it to be a good afterwork location in the financial district. However, their new location has left me with a bad taste in my mouth. This bad taste is a lot like a big warm glass of pure butter (more on this in a bit).We arrive at dinner just before 7 and were greeted by a friendly hostess who gladly took us to our table. The restaurant was half full but we were ""lucky"" enough to be seated at a half lit table right by the entrance of the kitchen. This table is great for people who really want to see the inner workings of the restaurant world because after last night I now have a full understanding as to how waiters punch in orders and the bickering between staff that goes on at the entrance to a kitchen. (Incase you didn't realize I'm being sarcastic and I found this table to be a personal attack on me as a human being)After strategically picking seats so that we were both in lit portions of the table we decided to peruse the menu. The first thing that became clear was that this is a far smaller menu than the original Reds with more of a focus on the casual items from Reds. After an elongated wait I ordered The Stockton St Club, my girlfriend got The Southern Thai Slaw and to start we split the Yukatan Ceviche.(NOTE ABOUT THE MENU: There is no ""Stockton St"" in Toronto. Though after a lengthy investigation there appears to be a Stockton Rd at The Allen and 401. Sooooooo, typo perhaps?)Let's start at the beginning, shall we? The ceviche left a lot to be desired. Delivered in an old fashioned glass it was pretty much impossible to get to the ceviche with the supplied tortillas once we were halfway done. Beyond this glaring failure in dish engineering the ceviche just stunk. The fish lacked firmness to the point where it was essentially mush. The dish was mixed poorly with not nearly enough acid at the top and far too much at the bottom. As if that wasn't enough the kicker was the fact that they didn't even give us plates. But hey! When you're at a table like this what more do you want?!Onto the mains, the club sandwich had some sort of green paste mixture that I'm pretty sure in the freshest guacamole that Subway has to offer. This sandwich is also great if you've ever wanted to taste what a piece of rye bread dipped into a vat of butter tastes like. The sandwich was falling apart before I even took my first bite as the soggy butter bread just could not take it anymore! Needless to say I don't know what club I'm in after having this disaster but I want out.I don't know if there's anything I can say about The Sourthern Thai Slaw Salad that my girlfriend didn't say when I asked her how it was. She frowned and said, ""This sucks"".There you have it! Don't go to Reds Midtown because it is just the worst.Honestly, I'd dump me too if I took me to a place like this.",2.0,2014-05-14,Yelp
We take our clients here for drinks as they've just opened a patio here a few weeks ago. Good wine list by the glass and great wine list by the bottle. Interesting decor and a corporate vibe. One of my favorite healthy dishes is the cabbage chicken rolls. It comes with a peanut sauce and red chili pepper paste. Ive also had a quinoa salad and added chicken - again great dish and good portion sizes.,4.0,2014-07-29,Yelp
Good Spicy Caesars but a bit too much vodka and it's a bit more expensive than other bars (Frog and Firkin has awesome Spicy Caesars for less than $6. It was around $9 here). Patio is nice in the summer.,3.0,2014-07-11,Yelp
"1: Poor 2: OK 3: Good 4: Very Good 5: ExcellentFood: 3.5Service: 3.5Ambiance: 4Overall: 3.5Extra information:* Wine Bar* Takes reservations* Private Parties* Party room* Open for lunch and dinnerWhere do you go for dinner when you have to stick around Dundas square? We don't get that many options unless we are willing to walk couple blocks away from the busy intersection.All we are left with is franchise restaurants (not that there is anything wrong with them, my favorite is Joeys) like Joeys, Jack Astors, Milestones, Pickle Barrel and etc.So when I heard Reds Tavern was opening a second location at Gerrald and Yonge, I was more than happy to check it out- especially since I had pretty good dining experience at the one located on Adelaide in Financial District.This location is much more 'hip and young' compared to the other location, filled with younger crowd from Ryerson and Eaton's Centre.Reds Midtown Tavern is led by Executive Chef Matt Robertson, who has created an impressive menu of reimagined classics with a unique selection of social sharing plates.Ordered: Calamari Fritti Di Amalfi 5/5Oven roasted tomato aioli, fresh lime and fried rosemary and lemon for $11.25. I loved this calamari, first of all I was surprised by how big the portion was- it was enough to share between 4 people. It was done perfectly, seasoned just right and crispy outside. Very often I find aioli served at restaurants to be too watery, but the oven roasted tomato aioli that was served with calamari was bursting with flavor. I will def get this dish again when I go back.Ordered: Maine Lobster Guacamole 3/5Guajillo chili dressed lobster, hand mashed avocado, fresh lime juice, serrano pepper and warm, crisp tortillas for $17.95. This was an appetizer that I was very excited about but didn't really live up to my expectation. Crispy chips and guacamole was standard but the lobster on top didn't do much for me. Lobster pieces were big and fresh but it just didn't go together with the guacamole nor did it have much flavor.Ordered: Cheeseburger Sliders 4/5Classic mini burgers served with tangy American cheese, everything sauce and pickle for $14.50. 3 of these were served for us to share and they were surprisingly delicious. Patties were tender and juicy between Ace bakery mini slider buns and would be good even as a main dish.Ordered: North Atlantic Seafood Chowder 2.5/5Traditional New England chowder with cold water white fish, tender surf clams and a hint of smoked bacon, cup for $6 or bowl for $9. I ordered a cup to try and was satisfied with what it was. Creamy and filled with lots of seafood but it's not something I will remember to order again.Ordered: Wild Mushroom Soup 2/5Herb scented roasted chicken broth with woodland mushrooms, truffled enoki salad and crisp parmesan croutons, cup for $6 or bowl for $9. This is not your ordinary creamy mushroom soup! Some people might like this but I didn't really enjoy it.Ordered: Avocado & Lobster CobbEast Coast lobster with crisp pork belly, 63-degree egg, fresh croutons, cherry tomato and a poached shallot dressing for $26.95. This was another dish I was disappointed with. There weren't much lobster on this Lobster Cobb Salad and even minus the lobster, it wasn't a good Cobb salad. I def didn't think this was worth $26.95Ordered: Bake Kale & Quinoa Salad 3/5Tossed with sweet spiced pecans, dried cranberries, caramelized sweet potatoes, smoked Manchego cheese and a citrus vinaigrette for $9.50 (Starter size). This dish was ordered and shared as an appetizer and it was a nice light salad on the side.Ordered: Cioppino 5/5Light tomato and white wine seafood stew with PEI mussels, calamari, shrimp and scallops served with crusty garlic rubbed baguette for $19.25. Another solid dish I was excited to find during this dinner. Tomato stew was nice and hearty, def a winter food that makes you all warm inside. I will def get this again when I go back.Summary: Thank goodness Reds Midtown Tavern opened on Gerrald street where it is much more laid back without that stiff financial crowd. It is a nicer walk from where I live and love the wide wine selection. I've been back couple more times after my first visit and I've always had an awesome time here. Def check it out when you are in the area and make sure to try the Grasshopper Parfait for dessert if you have room, it is so awesome!",4.0,2014-01-13,Yelp
I'm at different restaurants daily with my job. Reds has a great atmosphere and amazing staff,5.0,2014-05-31,Yelp
"I can't believe this is at Yonge and Gerrard! What a change!This is quite an upscale pub for the area. The Elephant and Castle and Pogue Mahones have been the only choices nearby for years, but this pub really takes it up a notch.This is a huge restaurant with a wonderful atmosphere and a couple of partial second floors, meaning most of the space has huge ceilings. Lots of brick and interesting light features.The beer and cocktail list is extensive, as you would expect from a more upscale pub. The prices were actually pretty reasonable though, which I wasn't expecting.The menu was also interesting. I went with the tandoori-spiced chicken salad, and it was very flavourful with a decent portion size.The service was great and well organized. I arrived before my wife and they took her name so that they could direct her to my table. Again, this place is very big.I definitely plan to return to explore the rest of the menu. There will also be an outdoor patio at the corner near Yonge, which I think will be fantastic for the area.",4.0,2013-12-14,Yelp
"Got a really good first impression by the friendly hostess and ambience of the place but once i sat at the bar everything went downhill from there. Waited over 5 minutes to even get acknowledged by the bartender. No hi how are you or friendly small talk or even a crack of a smile. I ordered the chicken tandoori salad. I was told it was a good choice but it was quite opposite. The chicken was too charred so all i good taste was burnt charred chicken. I was also told the chicken was a 5-6oz portion...negative...it was only about 3oz. They were chinsy on the cashews (only got two in my salad) and crispy cauliflower (only a few little pieces). The bartender never once asked me how my food was. I would have asked for a new chicken and more topping had i been given the opportunity but didn't feel like complaining. After the subpar meal the server handed me the bill. I paid and still tipped her 20% and thanked her. There was no reciprocation whatsoever...she didnt seem in the slightest grateful for a 20% tip that she certainly didn't deserve as there was thank you...no you're welcome...no have a nice evening. Just left a bad taste in my mouth. I'm not sure how that bartender even has a job there. The quality of service and a friendly, outgoing personality is what matters most during a dining experience and i know this because i worked in the hospitality and service industry for over 15 years. Pretty straightforward concept. Perhaps she was having an off day but everyone knows that in that industry in particular you gotta leave the excess baggage at the door. I would not go back based on the price tag and the impersonal experience.",1.0,2015-11-23,Yelp
"I had a chance to eat here for lunch and was very impressed. I have been to Reds in First Canadian Place several times and the Midtown location is consistent with that quality. The look is hip, trendy and relaxing. More importantly, the food was so delicious that I had to consciously remind myself not to scarf it all down quickly as it was a business luncheon. 100% recommend and great to have something of quality in the immediate area.",4.0,2014-02-24,Yelp
"Can you feel that? The immensity of all those souls resting above you? 78 storeys of young urbanites, with all their hopes and dreams and turmoil...Well, rest easy! The beer selection down here on the ground floor of the Aura tower is top drawer!Minus one star as the service was a bit absent.Will update once I actually eat something here.",4.0,2013-12-03,Yelp
"I came here with my boyfriend for our anniversary. He lives in the same building and I always pass by the restaurant. We thought to give it a try. The decor is absolutely amazing. Why do I give it two stars?We had to wait a ridiculous time for our meal and drinks. When the food came, it was just alright. I had the Cioppino. The food was a little cold when it came and my bread was burnt. On the other had, their calamari was absolutely delicious. For dessert, we share the flourless chocolate cake. Again, it took forever to come out and I did not like it one bit. It was way too sweet. I left the restaurant with mixed feelings and am not sure I'd return due to the incredibly slow service. Also, the food was just alright. I guess it also doesn't help that I had gotten food poisoning that night...",2.0,2014-06-19,Yelp
"Love this place! I live nearby and was pretty excited that a wine bar had opened up since there's nothing really like it in the area. I dropped in on a Friday night with a gal pal for a bottle of wine. The wine list was pretty good, although for a wine bar I would have expected a lot more on the list. The decor is sophisticated with funky modern (dimly lit) chandeliers, hardwood and luxe leather chairs stools. There's a semi-private area upstairs which has more of a vintage feel that would be great to hire out for a party or work function. I love bathrooms that have moisturiser etc. so an extra point for that! I wish we were hungry so we could have tried out the menu.My flatmate was somewhere else in the bar that night and told me that they have a beer sommeliar and he got a few free tastes of beer. He's been raving about the place ever since, so I think this is likely to become our local neighbourhood hang out!",5.0,2013-11-24,Yelp
Came here for drinks. Price was really expensive but I guess u are paying for the trendy location. Service was not bad. No parking but that's like most places downtown. I wouldn't return.,3.0,2015-04-18,Yelp
"I come here usually once every two weeks, the food is great and always fresh, got to make some friends here and I know I'm paying what I'm getting, the fish is always fresh and high quality, make sure you order the sea food dishes when you at here!",5.0,2014-12-17,Yelp
"During our Toronto visit, we came across Reds Midtown Tavern and it was a gem of a find.  We enjoyed the baby kale quinoa salad, the potato flatbread, as well as the chowder and mushroom soups.  Each item was fresh, tasty and served in a timely manner.  The quality of service was just as superb as the food. Erin, our server made us out of towners feel right at home. Thanks Reds for a memorable dining experience!",5.0,2014-08-02,Yelp
"Great decor and wait staff were great.Thought the menu was hit or miss, and was disappointed by the lack of daily specials and just 3 dessert options.Calamari were great, the hummus/side dip was delicious.Flatbread was well received too.Mains:PEI Mussels: Good portion, nice presentation.Cioppino: Very disappointing.  It tasted like pasta sauce mixed with some canned tomatoes and hot sauce, not a broth at all. Lamb Shank: Not bad.Overall fair prices and decent wine list.  A bit more menu variety is definitely needed.  3+ , would return.",3.0,2014-01-14,Yelp
"Great food excellent service.  Had chicken carbonara dish with pasta and poached  egg in middle.  Music was good,  and place was Comfortable.  Thanks and props to my waitress   Jacqueline.  Oh and beers..  Yum",5.0,2013-11-12,Yelp
"Cam here with 16 other friends during Nuit Blanche because scaddabush next door was full. I like that it's easy to get a last minute seating for that many people. It seems to be a very loud sports bar. One of those places that you go and have a drink before going to clubs. Ordered the clam chowder as an appetizer. I was expecting it to be thick and creamy, but it seems to have more water than cream. So, that was disappointing. Then, I got the lamb for my main course. It was just a standard slow cooked lamb. Boring and unoriginal. Taste is ok, but it feels expensive paying $50 or so for dinner when served something that boring. I doubt that I will be coming back unless I'm eating with a big group.",3.0,2014-10-19,Yelp
"Went here last mothers day.  The decor is unique and beautiful.  The waitstaff were really fun.  The fire alarm in Aura above provided hilarious entertainment and the 'moms' were mondo-entertained by the firemen who arrived.  The food was good, and we had a great time!",4.0,2014-11-16,Yelp
"OK. I ordered the steak, it was over cooked, but still tasted good.  My potato had black spots in it, so the server brought me the truffle fries.... YUM.  Overall Ok.",2.0,2015-08-22,Yelp
Horrible service!!!!! Food is over priced and wasn't even good small portions and was served cold !   I had the server bring all of our food at once after we told her we wanted the salads to start. She also forgot about our drinks for about half an hour ! Overall terrible experience and I probably won't go back !,1.0,2014-06-09,Yelp
"Reds Midtown at yonge & gerrard has a great location, tasty cocktails and delicious shareable food.  It'll be a good place to head to after work for a drink, date night or even a get together.  It's a huge space with lots of room for groups it seemed.Favourite dish was the crispy potato flatbread, which was a savoury beavertail like dish... just amazing and couldn't get enough of it.  The steak frites was amazing as well! Didn't expect them to have such delicious steak but it was one of the best I've tasted in the city so far.Chowder was great and their baby kale salad was delicious too... I really don't have anything negative to say as I fell in love with the spot and have suggested it to many friends already!",5.0,2014-01-03,Yelp
"Love this place!  Great staff and great beer selection! Love the food 2!Defiantly a great addition to the neighbourhood and will def be a constant stop in the city, great bar staff and even greater management staff! Try the flat bread and the sliders.",5.0,2013-12-27,Yelp
"Awesome spot to grab a drink or cocktail, open until 1:00am during the week when a lot of other spots are closed. Nice big open space and they do have a couple of tv's at the bar. If you want a simple snack grab the nachos and guacamole. The washroom has a push to lock button. Make sure you remember to push it. LoL Cheers!",5.0,2014-05-12,Yelp
"Great atmosphere, friendly staff. Decor is out of this world. Went there for drinks, no food. Stayed for a few hours. Really enjoyable.",4.0,2014-11-23,Yelp
The private menu for handmade Gin cocktails is potent and amazing!! The Kale salad is alright but not overwhelming in flavours. The carbonara chicken was amazing! Staff took good care to look after our table and they were even able to dim the lights for us by request. Generally a wonderful time.,4.0,2014-11-15,Yelp
"Nice atmosphere and easy walking distance from the eaton Center. The appetizer and shareable menus are ideal for late snack or after work gathering. Entree offering are limited and you might find something you like. The bar is well stock with wine, liquor and craft beer.The hostess on shift tonight did not really ask us where to sit. She kept putting us in the back or in a corner that didn't work for us. At the end, we asked if we can sit where we wanted.",4.0,2014-11-15,Yelp
